4N.190A;10;1N45321;0.39;3;
5TW2201GH190;10;4TW010A;1.064;2;
5TW2201GH190;20;1T.3161;0.169;2;
5TW2201GH190;30;1TW3332;0.035;2;
5TW2201GH235;10;4TW110B;1.064;2;
5TW2201GH235;20;1T.3161;0.211;2;
5TW2201GH235;30;1TW3332;0.044;2;
5TW22012H225;10;5TW2201GH235   ;1.01;666BHO;
5TW22012H225;10;5TW2201GH235   ;1.01;666BHO;
6TW0538AA60;10;5TW4160GH250;1;8888;
6TW0538AA60;20;2T.M6;0;8888;
6TW0538AA60;30;2T.M1;0.549;8888;
6X.0548AA50;10;5X.4285GH220;1.02;9999;
6X.0548AA50;20;2Y.M1;0;9999;
6X.0548AA50;30;2Y.M3;0.382;9999;
6X.0548AA60;10;5X.4285GH230;1.02;9999;
6X.0548AA60;20;2Y.M1;0;9999;
6X.0548AA60;30;2Y.M3;0.415;9999;
6D.05282H205;10;6D.0528AA50;0.995;4444;
6D.05282H205;20;830KL;1;4444;
6D.05282H215;10;6D.0528AA60;0.995;4444;
6D.05282H215;20;830KL;1;4444;
6D.05282H205;10;6D.0528AA50;0.995;4444;
6D.05282H205;20;830KL;1;4444;
6D.05282H215;10;6D.0528AA60;0.995;4444;
6D.05282H215;20;830KL;1;4444;
